-2,Not applicable
0,(Not classified)
1,"Two-year, very small"
2,"Two-year, small"
3,"Two-year, medium"
4,"Two-year, large"
5,"Two-year, very large"
6,"Four-year, very small, primarily nonresidential"
7,"Four-year, very small, primarily residential"
8,"Four-year, very small, highly residential"
9,"Four-year, small, primarily nonresidential"
10,"Four-year, small, primarily residential"
11,"Four-year, small, highly residential"
12,"Four-year, medium, primarily nonresidential"
13,"Four-year, medium, primarily residential"
14,"Four-year, medium, highly residential"
15,"Four-year, large, primarily nonresidential"
16,"Four-year, large, primarily residential"
17,"Four-year, large, highly residential"
18,Exclusively graduate/professional
