-2,Not applicable
0,Not classified (Exclusively Graduate)
1,"Two-year, higher part-time"
2,"Two-year, mixed part/full-time"
3,"Two-year, medium full-time"
4,"Two-year, higher full-time"
5,"Four-year, higher part-time"
6,"Four-year, medium full-time, inclusive, lower transfer-in"
7,"Four-year, medium full-time, inclusive, higher transfer-in"
8,"Four-year, medium full-time, selective, lower transfer-in"
9,"Four-year, medium full-time , selective, higher transfer-in"
10,"Four-year, full-time, inclusive, lower transfer-in"
11,"Four-year, full-time, inclusive, higher transfer-in"
12,"Four-year, full-time, selective, lower transfer-in"
13,"Four-year, full-time, selective, higher transfer-in"
14,"Four-year, full-time, more selective, lower transfer-in"
15,"Four-year, full-time, more selective, higher transfer-in"
