NAME OF DATA ELEMENT,dev-category,developer-friendly name,name,API data type,VARIABLE NAME,VALUE,LABEL,SOURCE,NOTES
"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.",academics,program_percentage.agriculture,,float,PCIP01,,"Agriculture, Agriculture Operations, and Related Sciences",IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Natural Resources And Conservation.,academics,program_percentage.resources,,float,PCIP03,,Natural Resources and Conservation,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Architecture And Related Services.,academics,program_percentage.architecture,,float,PCIP04,,Architecture and Related Services,IPEDS,Shown/used on consumer website.
"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.",academics,program_percentage.ethnic_cultural_gender,,float,PCIP05,,"Area, Ethnic, Cultural, Gender, and Group Studies",IPEDS,Shown/used on consumer website.
"Percentage of degrees awarded in Communication, Journalism, And Related Programs.",academics,program_percentage.communication,,float,PCIP09,,"Communication, Journalism, and Related Programs",IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.,academics,program_percentage.communications_technology,,float,PCIP10,,Communications Technologies/Technicians and Support Services,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Computer And Information Sciences And Support Services.,academics,program_percentage.computer,,float,PCIP11,,Computer and Information Sciences and Support Services,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Personal And Culinary Services.,academics,program_percentage.personal_culinary,,float,PCIP12,,Personal and Culinary Services,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Education.,academics,program_percentage.education,,float,PCIP13,,Education,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Engineering.,academics,program_percentage.engineering,,float,PCIP14,,Engineering,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.,academics,program_percentage.engineering_technology,,float,PCIP15,,Engineering Technologies and Engineering-Related Fields,IPEDS,Shown/used on consumer website.
"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.",academics,program_percentage.language,,float,PCIP16,,"Foreign Languages, Literatures, and Linguistics",IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.,academics,program_percentage.family_consumer_science,,float,PCIP19,,Family and Consumer Sciences/Human Sciences,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Legal Professions And Studies.,academics,program_percentage.legal,,float,PCIP22,,Legal Professions and Studies,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in English Language And Literature/Letters.,academics,program_percentage.english,,float,PCIP23,,English Language and Literature/Letters,IPEDS,Shown/used on consumer website.
"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.",academics,program_percentage.humanities,,float,PCIP24,,"Liberal Arts and Sciences, General Studies and Humanities",IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Library Science.,academics,program_percentage.library,,float,PCIP25,,Library Science,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Biological And Biomedical Sciences.,academics,program_percentage.biological,,float,PCIP26,,Biological and Biomedical Sciences,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Mathematics And Statistics.,academics,program_percentage.mathematics,,float,PCIP27,,Mathematics and Statistics,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Military Technologies And Applied Sciences.,academics,program_percentage.military,,float,PCIP29,,Military Technologies and Applied Sciences,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Multi/Interdisciplinary Studies.,academics,program_percentage.multidiscipline,,float,PCIP30,,Multi/Interdisciplinary Studies,IPEDS,Shown/used on consumer website.
"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.",academics,program_percentage.parks_recreation_fitness,,float,PCIP31,,"Parks, Recreation, Leisure, and Fitness Studies",IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Philosophy And Religious Studies.,academics,program_percentage.philosophy_religious,,float,PCIP38,,Philosophy and Religious Studies,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Theology And Religious Vocations.,academics,program_percentage.theology_religious_vocation,,float,PCIP39,,Theology and Religious Vocations,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Physical Sciences.,academics,program_percentage.physical_science,,float,PCIP40,,Physical Sciences,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Science Technologies/Technicians.,academics,program_percentage.science_technology,,float,PCIP41,,Science Technologies/Technicians,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Psychology.,academics,program_percentage.psychology,,float,PCIP42,,Psychology,IPEDS,Shown/used on consumer website.
"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",academics,program_percentage.security_law_enforcement,,float,PCIP43,,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Public Administration And Social Service Professions.,academics,program_percentage.public_administration_social_service,,float,PCIP44,,Public Administration and Social Service Professions,IPEDS,Shown/used on consumer website.
