NAME OF DATA ELEMENT,dev-category,developer-friendly name,name,API data type,VARIABLE NAME,VALUE,LABEL,SOURCE,NOTES
Unit ID for institution,root,id,id,integer,UNITID,,,IPEDS,Shown/used on consumer website.
8-digit OPE ID for institution,root,ope8_id,ope8_id,integer,OPEID,,,IPEDS,Shown/used on consumer website.
6-digit OPE ID for institution,root,ope6_id,ope6_id,integer,OPEID6,,,IPEDS,Shown/used on consumer website.
Institution name,school,name,name,autocomplete,INSTNM,,,IPEDS,Shown/used on consumer website.
City,school,city,city,autocomplete,CITY,,,IPEDS,Shown/used on consumer website.
ZIP code,school,zip,zip,string,ZIP,,,IPEDS,
URL for institution's net price calculator,school,price_calculator_url,price_calculator_url,string,NPCURL,,,IPEDS,Shown/used on consumer website.
Locale of institution,school,locale,locale,integer,LOCALE,11,"City: Large (population of 250,000 or more)",IPEDS,Shown/used on consumer website.
Degree of urbanization of institution,school,degree_urbanization,degree_urbanization,integer,LOCALE2,1,"Large City (a central city of a CMSA or MSA, with the city having a population greater than or equal to 250,000)",IPEDS,
Carnegie Classification -- basic,school,carnegie_basic,carnegie_basic,integer,CCBASIC,-2,Not applicable,IPEDS,
Flag for Historically Black College and University,school,minority_serving.historically_black,minority_serving_historically_black,integer,HBCU,0,No,ED,Shown/used on consumer website.
Flag for predominantly black institution,school,minority_serving.predominantly_black,minority_serving_predominantly_black,integer,PBI,0,No,OPE,Shown/used on consumer website.
Flag for Alaska Native Native Hawaiian serving institution,school,minority_serving.annh,minority_serving_annh,integer,ANNHI,0,No,OPE,Shown/used on consumer website.
Flag for tribal college and university,school,minority_serving.tribal,minority_serving_tribal,integer,TRIBAL,0,No,OPE,Shown/used on consumer website.
Flag for Asian American Native American Pacific Islander-serving institution,school,minority_serving.aanipi,minority_serving_aanipi,integer,AANAPII,0,No,OPE,Shown/used on consumer website.
Flag for Hispanic-serving institution,school,minority_serving.hispanic,minority_serving_hispanic,integer,HSI,0,No,OPE,Shown/used on consumer website.
Flag for Native American non-tribal institution,school,minority_serving.nant,minority_serving_nant,integer,NANTI,0,No,OPE,Shown/used on consumer website.
Religous affiliation of the institution,school,religious_affiliation,religious_affiliation,integer,RELAFFIL,-1,Not reported,IPEDS,Shown/used on consumer website.
Midpoint of SAT scores at the institution (critical reading),admissions,sat_scores.midpoint.critical_reading,sat_scores_midpoint_critical_reading,float,SATVRMID,,,IPEDS,Shown/used on consumer website.
Midpoint of SAT scores at the institution (math),admissions,sat_scores.midpoint.math,sat_scores_midpoint_math,float,SATMTMID,,,IPEDS,Shown/used on consumer website.
