old,new
admissions.sat_scores.average.overall,sat_scores_average_overall
admissions.sat_scores.midpoint.critical_reading,sat_scores_midpoint_critical_reading
admissions.sat_scores.midpoint.math,sat_scores_midpoint_math
admissions.sat_scores.midpoint.writing,sat_scores_midpoint_writing
aid.cumulative_debt.number,cumulative_debt_number
aid.federal_loan_rate,federal_loan_rate
aid.loan_principal,loan_principal
aid.median_debt.completers.monthly_payments,median_debt_completers_monthly_payments
aid.median_debt.completers.overall,median_debt_completers_overall
aid.median_debt.noncompleters,median_debt_noncompleters
aid.median_debt_suppressed.completers.monthly_payments,median_debt_suppressed_completers_monthly_payments
aid.median_debt_suppressed.completers.overall,median_debt_suppressed_completers_overall
aid.median_debt_suppressed.overall,median_debt_suppressed_overall
aid.pell_grant_rate,pell_grant_rate
aid.students_with_any_loan,prop_students_with_any_loan
completion.completion_rate_4yr_150nt_pooled,completion_completion_rate_4yr_150nt_pooled
completion.completion_rate_less_than_4yr_150nt_pooled,completion_completion_rate_less_than_4yr_150nt_pooled
cost.attendance.academic_year,cost_per_academic_year
cost.attendance.program_year,cost_per_program_year
cost.tuition.in_state,tuition_in_state
cost.tuition.out_of_state,tuition_out_of_state
cost.tuition.program_year,tuition_program_year
earnings.10_yrs_after_entry.median,median_earnings_in_10_yrs
earnings.10_yrs_after_entry.not_working_not_enrolled.overall,number_unemployed
earnings.10_yrs_after_entry.working_not_enrolled.mean_earnings,mean_earnings_in_10_yrs
earnings.10_yrs_after_entry.working_not_enrolled.overall,number_employed
id,id
metadata_x,metadata_x
repayment.3_yr_default_rate,default_rate_3yrs
repayment.3_yr_repayment.completers_rate,repayment_3_yr_repayment_completers_rate
repayment.3_yr_repayment.dependent_students_rate,repayment_3_yr_repayment_dependent_students_rate
repayment.3_yr_repayment.female_students_rate,repayment_3_yr_repayment_female_students_rate
repayment.3_yr_repayment.first_generation_students_rate,repayment_3_yr_repayment_first_generation_students_rate
repayment.3_yr_repayment.income.0_30000,repayment_3_yr_repayment_income_0_30000
repayment.3_yr_repayment.income.30000_75000,repayment_3_yr_repayment_income_30000_75000
repayment.3_yr_repayment.income.greater_than_75000,repayment_3_yr_repayment_income_greater_than_75000
repayment.3_yr_repayment.independent_students_rate,repayment_3_yr_repayment_independent_students_rate
repayment.3_yr_repayment.male_students_rate,repayment_3_yr_repayment_male_students_rate
repayment.3_yr_repayment.no_pell_grant_rate,repayment_3_yr_repayment_no_pell_grant_rate
repayment.3_yr_repayment.non_first_generation_students_rate,repayment_3_yr_repayment_non_first_generation_students_rate
repayment.3_yr_repayment.noncompleters_rate,repayment_3_yr_repayment_noncompleters_rate
repayment.3_yr_repayment.pell_grant_rate,repayment_3_yr_repayment_pell_grant_rate
repayment.repayment_cohort.3_year_declining_balance,repayment_repayment_cohort_3_year_declining_balance
school.name_x,school_name
student.avg_dependent_income.2014dollars,avg_family_income
student.avg_dependent_income.ollars,avg_dependent_income_ollars
student.avg_independent_income.2014dollars,avg_independent_income
student.avg_independent_income.ollars,avg_independent_income_ollars
student.demographics.dependent,prop_dependent
student.demographics.female_share,prop_female
student.demographics.first_generation,prop_first_generation
student.demographics.married,prop_married
student.demographics.men,prop_men
student.demographics.over_23_at_entry,prop_over_23_at_entry
student.demographics.race_ethnicity.aian,prop_native_american
student.demographics.race_ethnicity.asian,prop_asian
student.demographics.race_ethnicity.black,prop_black
student.demographics.race_ethnicity.hispanic,prop_hispanic
student.demographics.race_ethnicity.nhpi,prop_pacific_islander
student.demographics.race_ethnicity.non_resident_alien,prop_international_student
student.demographics.race_ethnicity.two_or_more,prop_mixed_races
student.demographics.race_ethnicity.unknown,prop_unknown
student.demographics.race_ethnicity.white,prop_white
student.demographics.veteran,prop_veteran
student.demographics.women,prop_women
student.grad_students,prop_grad_students
student.part_time_share,prop_part_time
student.retention_rate.four_year.full_time,retention_rate_four_year_full_time
student.retention_rate.four_year.part_time,retention_rate_four_year_part_time
student.retention_rate.lt_four_year.full_time,retention_rate_two_four_year_full_time
student.retention_rate.lt_four_year.part_time,retention_rate_two_four_year_part_time
student.share_dependent_highincome.110001plus,prop_family_highincome_110001plus
student.share_dependent_highincome.75001_110000,prop_family_highincome_75001_110000
student.share_dependent_lowincome.0_300000,prop_family_lowincome_0_300000
student.share_dependent_middleincome.300001_48000,prop_family_middleincome_300001_48000
student.share_dependent_middleincome.48001_75000,prop_family_middleincome_48001_75000
student.share_firstgeneration,prop_firstgeneration
student.share_firstgeneration_parents.highschool,prop_firstgeneration_parents_highschool
student.share_firstgeneration_parents.middleschool,prop_firstgeneration_parents_middleschool
student.share_firstgeneration_parents.somecollege,prop_firstgeneration_parents_somecollege
student.share_highincome.110001plus,prop_highincome_110001plus
student.share_highincome.75001_110000,prop_highincome_75001_110000
student.share_independent_highincome.110001plus,prop_independent_highincome_110001plus
student.share_independent_highincome.75001_110000,prop_independent_highincome_75001_110000
student.share_independent_lowincome.0_30000,prop_independent_lowincome_0_30000
student.share_independent_middleincome.30001_48000,prop_independent_middleincome_30001_48000
student.share_independent_middleincome.48001_75000,prop_independent_middleincome_48001_75000
student.share_middleincome.30001_48000,prop_middleincome_30001_48000
student.share_middleincome.48001_75000,prop_middleincome_48001_75000
student.students_with_pell_grant,students_with_pell_grant
student.undergrads_non_degree_seeking,prop_non_degree_seeking_undergrads
year,year
student.demographics.share_white.home_ZIP,prop_white_homes_in_neighborhood
student.demographics.share_black.home_ZIP,prop_black_homes_in_neighborhood
student.demographics.share_asian.home_ZIP,prop_asian_homes_in_neighborhood
student.demographics.share_hispanic.home_ZIP,prop_hispanic_homes_in_neighborhood
student.demographics.share_bachelors_degree_age25.home_ZIP,prop_bachelors_degree_homes_in_neighborhood
student.demographics.share_professional_degree_age25.home_ZIP,prop_professional_degree_homes_in_neighborhood
student.demographics.share_born_US.home_ZIP,prop_born_US_homes_in_neighborhood
student.demographics.poverty_rate,poverty_rate_in_neighborhood
student.demographics.unemployment,unemployment_in_neighborhood
student.demographics.median_hh_income_log,median_income_in_neighborhood
Unnamed:0_y,Unnamed:0_y
location.lat,location_lat
location.lon,location_lon
ope6_id,ope6_id
ope8_id,ope8_id
school.carnegie_basic,carnegie_basic
school.carnegie_size_setting,carnegie_size_setting
school.carnegie_undergrad,carnegie_undergrad
school.city,city
school.faculty_salary,faculty_salary
school.ft_faculty_rate,prop_fulltime_faculty
school.institutional_characteristics.level,institutional_characteristics_level
school.instructional_expenditure_per_fte,instructional_expenditure_per_student
school.locale,locale
school.men_only,men_only
school.minority_serving.aanipi,minority_serving_aanipi
school.minority_serving.annh,minority_serving_annh
school.minority_serving.hispanic,minority_serving_hispanic
school.minority_serving.historically_black,minority_serving_historically_black
school.minority_serving.nant,minority_serving_nant
school.minority_serving.predominantly_black,minority_serving_predominantly_black
school.minority_serving.tribal,minority_serving_tribal
school.name_y,name_y
super_opeid,super_opeid
school.price_calculator_url,price_calculator_url
school.region_id,region_id
school.religious_affiliation,religious_affiliation
school.tuition_revenue_per_fte,tuition_revenue_per_fte
school.women_only,women_only
school.zip,zip
school.state,state
metadata_y,metadata_y
name,name_broad
czname,czname
state,state_broad
par_median,par_median
k_median,k_median
par_q1,prop_bottom_income
par_top1pc,prop_top_1percent_income
kq5_cond_parq1,prop_bottom_income_to_top
ktop1pc_cond_parq1,prop_bottom_income_to_top_1percent
mr_kq5_pq1,mobility_rate
mr_ktop1_pq1,mobility_rate_to_top_1percent
trend_parq1,trend_parq1
trend_bottom40,trend_bottom40
count,count
