NAME OF DATA ELEMENT,dev-category,developer-friendly name,my_classification,API data type,VARIABLE NAME,VALUE,LABEL,SOURCE,NOTES
Unit ID for institution,root,id,id,integer,UNITID,,,IPEDS,Shown/used on consumer website.
Institution name,school,name,name,autocomplete,INSTNM,,,IPEDS,Shown/used on consumer website.
Degree of urbanization of institution,school,degree_urbanization,degree_urbanization,integer,LOCALE2,1,"Large City (a central city of a CMSA or MSA, with the city having a population greater than or equal to 250,000)",IPEDS,
Locale of institution,school,locale,locale,integer,LOCALE,11,"City: Large (population of 250,000 or more)",IPEDS,Shown/used on consumer website.
Carnegie Classification -- basic,school,carnegie_basic,carnegie_basic,integer,CCBASIC,-2,Not applicable,IPEDS,
Average SAT equivalent score of students admitted,admissions,sat_scores.average.overall,sat_scores,float,SAT_AVG,,,IPEDS,Shown/used on consumer website.
Total share of enrollment of undergraduate degree-seeking students who are white,student,demographics.race_ethnicity.white,prop_white,float,UGDS_WHITE,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students who are black,student,demographics.race_ethnicity.black,prop_black,float,UGDS_BLACK,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students who are Hispanic,student,demographics.race_ethnicity.hispanic,prop_hispanic,float,UGDS_HISP,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students who are Asian,student,demographics.race_ethnicity.asian,prop_asian,float,UGDS_ASIAN,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native,student,demographics.race_ethnicity.aian,prop_aian,float,UGDS_AIAN,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander,student,demographics.race_ethnicity.nhpi,prop_nhpi,float,UGDS_NHPI,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students who are two or more races,student,demographics.race_ethnicity.two_or_more,prop_two_or_more,float,UGDS_2MOR,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens,student,demographics.race_ethnicity.non_resident_alien,prop_non_resident_alien,float,UGDS_NRA,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students whose race is unknown,student,demographics.race_ethnicity.unknown,prop_unknown,float,UGDS_UNKN,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students who are white non-Hispanic,student,demographics.race_ethnicity.white_non_hispanic,prop_white_non_hispanic,float,UGDS_WHITENH,,,IPEDS,Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students who are black non-Hispanic,student,demographics.race_ethnicity.black_non_hispanic,prop_black_non_hispanic,float,UGDS_BLACKNH,,,IPEDS,Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students who are Asian/Pacific Islander,student,demographics.race_ethnicity.asian_pacific_islander,prop_asian_pacific_islander,float,UGDS_API,,,IPEDS,Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
In-state tuition and fees,cost,tuition.in_state,tuition.in_state,integer,TUITIONFEE_IN,,,IPEDS,
Out-of-state tuition and fees,cost,tuition.out_of_state,tuition.out_of_state,integer,TUITIONFEE_OUT,,,IPEDS,
